frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
130.0,board-acceptance,row-chip-bank-column,1080p8,1920,1080,8,replay,write,2048,15.753846153846155,0.0,1,0,99.58847736625515,100,0,0,1,0,30.776923076923076,0.11538461538461539,0,124.288,47.80307692307692,135.712,256,2,183
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,replay,write,2048,15.753846153846155,0.0,1,0,99.58847736625515,100,0,0,1,0,30.776923076923076,0.15384615384615385,0,124.288,47.80307692307692,135.712,256,2,227
130.0,board-acceptance,stripe-1k-chip-bank,1080p8,1920,1080,8,replay,write,2048,15.753846153846155,0.0,1,0,99.58847736625515,100,0,0,1,0,30.776923076923076,0.15384615384615385,0,124.288,47.80307692307692,135.712,256,2,228
130.0,board-acceptance,chip-row-bank-column,720p16,1280,720,16,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,32.176923076923075,16.823076923076922,0,110.976,42.683076923076925,149.024,0,23,179
130.0,board-acceptance,linear,720p16,1280,720,16,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,34.94615384615385,16.93076923076923,0,110.976,42.683076923076925,149.024,0,23,175
130.0,board-acceptance,row-bank-chip-column,720p16,1280,720,16,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,32.176923076923075,14.761538461538462,0,110.976,42.683076923076925,149.024,0,23,177
130.0,board-acceptance,row-chip-bank-column,720p16,1280,720,16,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,32.176923076923075,16.823076923076922,0,110.976,42.683076923076925,149.024,0,23,183
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,32.176923076923075,16.66923076923077,0,110.976,42.683076923076925,149.024,0,23,213
130.0,board-acceptance,stripe-1k-chip-bank,720p16,1280,720,16,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,32.176923076923075,14.8,0,110.976,42.683076923076925,149.024,0,23,216
130.0,board-acceptance,chip-row-bank-column,720p16,1280,720,16,replay,write,2048,15.753846153846155,0.0,1,0,99.53703703703704,100,0,0,1,0,30.823076923076922,0.15384615384615385,0,110.464,42.48615384615385,149.536,256,2,175
130.0,board-acceptance,linear,720p16,1280,720,16,replay,write,2048,15.753846153846155,0.0,1,0,99.53703703703704,100,0,0,1,0,34.86923076923077,0.08461538461538462,0,110.464,42.48615384615385,149.536,256,2,176
